CPU%,MEM_USAGE/LIMIT,MEM%,NET_I/O,BLOCK_I/O
3.66,2.395GiB/3.839GiB,62.39,2.23MB/97.6MB,0B/0B
2.97,2.396GiB/3.839GiB,62.40,2.23MB/97.6MB,0B/0B
3.13,2.395GiB/3.839GiB,62.39,2.23MB/97.6MB,0B/0B
10.54,2.397GiB/3.839GiB,62.42,2.23MB/97.6MB,0B/0B
215.14,2.411GiB/3.839GiB,62.81,2.25MB/97.6MB,0B/0B
4.78,2.411GiB/3.839GiB,62.79,2.26MB/98.7MB,0B/0B
3.31,2.411GiB/3.839GiB,62.80,2.26MB/98.7MB,0B/0B
15.51,2.411GiB/3.839GiB,62.81,2.26MB/98.7MB,0B/0B
3.47,2.412GiB/3.839GiB,62.82,2.26MB/98.7MB,0B/0B
5.98,2.412GiB/3.839GiB,62.82,2.26MB/98.7MB,0B/0B
5.81,2.41GiB/3.839GiB,62.78,2.26MB/98.7MB,0B/0B
3.06,2.41GiB/3.839GiB,62.78,2.26MB/98.7MB,0B/0B
6.92,2.408GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
4.78,2.408GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
4.43,2.409GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
8.73,2.409GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
3.47,2.409GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
7.84,2.41GiB/3.839GiB,62.76,2.26MB/98.7MB,0B/0B
3.52,2.409GiB/3.839GiB,62.73,2.26MB/98.7MB,0B/0B
5.11,2.399GiB/3.839GiB,62.48,2.26MB/98.7MB,0B/0B
4.93,2.397GiB/3.839GiB,62.44,2.26MB/98.7MB,0B/0B
10.87,2.397GiB/3.839GiB,62.44,2.26MB/98.7MB,0B/0B
8.72,2.398GiB/3.839GiB,62.45,2.26MB/98.7MB,0B/0B
9.69,2.397GiB/3.839GiB,62.43,2.26MB/98.7MB,0B/0B
3.69,2.397GiB/3.839GiB,62.44,2.26MB/98.7MB,0B/0B
7.90,2.399GiB/3.839GiB,62.48,2.26MB/98.7MB,0B/0B
116.82,2.419GiB/3.839GiB,63.01,2.26MB/98.7MB,0B/0B
15.08,2.381GiB/3.839GiB,62.00,2.28MB/99.8MB,0B/0B
4.10,2.381GiB/3.839GiB,62.01,2.28MB/99.8MB,0B/0B
11.48,2.381GiB/3.839GiB,62.01,2.28MB/99.8MB,0B/0B
3.93,2.381GiB/3.839GiB,62.02,2.28MB/99.8MB,0B/0B
5.14,2.381GiB/3.839GiB,62.02,2.28MB/99.8MB,0B/0B
4.04,2.382GiB/3.839GiB,62.04,2.28MB/99.8MB,0B/0B
10.74,2.38GiB/3.839GiB,61.99,2.28MB/99.8MB,0B/0B
4.96,2.38GiB/3.839GiB,61.99,2.28MB/99.8MB,0B/0B
3.06,2.38GiB/3.839GiB,61.99,2.28MB/99.8MB,0B/0B
4.10,2.379GiB/3.839GiB,61.96,2.28MB/99.8MB,0B/0B
4.31,2.38GiB/3.839GiB,61.98,2.28MB/99.8MB,0B/0B
6.74,2.379GiB/3.839GiB,61.97,2.28MB/99.8MB,0B/0B
79.50,2.397GiB/3.839GiB,62.42,2.28MB/99.8MB,0B/0B
410.14,2.398GiB/3.839GiB,62.46,2.3MB/99.8MB,0B/0B
3.79,2.411GiB/3.839GiB,62.81,2.31MB/101MB,0B/0B
4.16,2.412GiB/3.839GiB,62.81,2.31MB/101MB,0B/0B
96.24,2.435GiB/3.839GiB,63.42,2.31MB/101MB,0B/0B
107.11,2.421GiB/3.839GiB,63.06,2.31MB/101MB,0B/0B
109.17,2.424GiB/3.839GiB,63.15,2.31MB/101MB,0B/0B
115.56,2.435GiB/3.839GiB,63.42,2.31MB/101MB,0B/0B
389.46,2.426GiB/3.839GiB,63.19,2.32MB/101MB,0B/0B
94.62,2.443GiB/3.839GiB,63.62,2.33MB/102MB,0B/0B
102.08,2.491GiB/3.839GiB,64.88,2.33MB/102MB,0B/0B
4.12,2.406GiB/3.839GiB,62.68,2.33MB/102MB,0B/0B
14.40,2.407GiB/3.839GiB,62.68,2.33MB/102MB,0B/0B
10.80,2.406GiB/3.839GiB,62.66,2.33MB/102MB,0B/0B
3.70,2.406GiB/3.839GiB,62.66,2.33MB/102MB,0B/0B
6.41,2.391GiB/3.839GiB,62.27,2.33MB/102MB,0B/0B
3.80,2.391GiB/3.839GiB,62.28,2.33MB/102MB,0B/0B
10.88,2.391GiB/3.839GiB,62.28,2.33MB/102MB,0B/0B
5.20,2.391GiB/3.839GiB,62.28,2.33MB/102MB,0B/0B
5.61,2.392GiB/3.839GiB,62.29,2.33MB/102MB,0B/0B
3.54,2.392GiB/3.839GiB,62.30,2.33MB/102MB,0B/0B
12.26,2.391GiB/3.839GiB,62.29,2.33MB/102MB,0B/0B
6.29,2.369GiB/3.839GiB,61.71,2.33MB/102MB,0B/0B
4.43,2.349GiB/3.839GiB,61.19,2.33MB/102MB,0B/0B
6.35,2.349GiB/3.839GiB,61.19,2.33MB/102MB,0B/0B
14.50,2.35GiB/3.839GiB,61.21,2.33MB/102MB,0B/0B
3.66,2.349GiB/3.839GiB,61.19,2.33MB/102MB,0B/0B
3.51,2.35GiB/3.839GiB,61.20,2.33MB/102MB,0B/0B
8.98,2.35GiB/3.839GiB,61.20,2.33MB/102MB,0B/0B
12.34,2.351GiB/3.839GiB,61.24,2.33MB/102MB,0B/0B
4.16,2.351GiB/3.839GiB,61.24,2.33MB/102MB,0B/0B
111.70,2.373GiB/3.839GiB,61.81,2.34MB/102MB,0B/0B
108.20,2.37GiB/3.839GiB,61.73,2.34MB/102MB,0B/0B
121.57,2.381GiB/3.839GiB,62.01,2.34MB/102MB,0B/0B
108.64,2.449GiB/3.839GiB,63.77,2.34MB/102MB,0B/0B
246.57,2.4GiB/3.839GiB,62.50,2.36MB/103MB,0B/0B
140.31,2.381GiB/3.839GiB,62.01,2.36MB/103MB,0B/0B
105.50,2.401GiB/3.839GiB,62.53,2.37MB/103MB,0B/0B
173.31,2.389GiB/3.839GiB,62.21,2.38MB/103MB,0B/0B
4.03,2.385GiB/3.839GiB,62.13,2.39MB/104MB,0B/0B
4.53,2.385GiB/3.839GiB,62.13,2.39MB/104MB,0B/0B
13.52,2.385GiB/3.839GiB,62.13,2.39MB/104MB,0B/0B
5.22,2.386GiB/3.839GiB,62.14,2.39MB/104MB,0B/0B
4.46,2.386GiB/3.839GiB,62.14,2.39MB/104MB,0B/0B
2.91,2.386GiB/3.839GiB,62.14,2.39MB/104MB,0B/0B
5.87,2.383GiB/3.839GiB,62.06,2.39MB/104MB,0B/0B
3.80,2.383GiB/3.839GiB,62.06,2.39MB/104MB,0B/0B
5.12,2.383GiB/3.839GiB,62.06,2.39MB/104MB,0B/0B
7.00,2.383GiB/3.839GiB,62.06,2.39MB/104MB,0B/0B
3.53,2.382GiB/3.839GiB,62.04,2.39MB/104MB,0B/0B
3.39,2.382GiB/3.839GiB,62.05,2.39MB/104MB,0B/0B
3.43,2.382GiB/3.839GiB,62.04,2.39MB/104MB,0B/0B
9.51,2.382GiB/3.839GiB,62.05,2.39MB/104MB,0B/0B
8.49,2.343GiB/3.839GiB,61.03,2.39MB/104MB,0B/0B
3.71,2.343GiB/3.839GiB,61.03,2.39MB/104MB,0B/0B
3.80,2.343GiB/3.839GiB,61.04,2.39MB/104MB,0B/0B
8.59,2.344GiB/3.839GiB,61.04,2.39MB/104MB,0B/0B
4.35,2.344GiB/3.839GiB,61.05,2.39MB/104MB,0B/0B
5.53,2.343GiB/3.839GiB,61.04,2.39MB/104MB,0B/0B
3.44,2.344GiB/3.839GiB,61.04,2.39MB/104MB,0B/0B
